,positive,negative,positive_percent,negative_percent,total_calls,term_frequency,idf
crap,251.0,1275.0,0.16448230668414154,0.8355176933158585,1526.0,0.03052,4.337116456055634
crappi,73.0,330.0,0.18114143920595532,0.8188585607940446,403.0,0.00806,5.6756126500846396
crash,260.0,356.0,0.42207792207792205,0.577922077922078,616.0,0.01232,5.275886438645494
crazi,541.0,481.0,0.5293542074363993,0.47064579256360073,1022.0,0.02044,4.781014742821744
creat,1373.0,1034.0,0.5704196094723722,0.42958039052762775,2407.0,0.04814,3.889592077525603
creation,185.0,140.0,0.5692307692307692,0.4307692307692308,325.0,0.0065,5.973359509152561
creativ,400.0,345.0,0.5369127516778524,0.46308724832214765,745.0,0.0149,5.0971684893548375
creator,172.0,189.0,0.47645429362880887,0.5235457063711911,361.0,0.00722,5.863960914745455
creatur,260.0,390.0,0.4,0.6,650.0,0.013,5.080461656853112
credibl,215.0,328.0,0.39594843462246776,0.6040515653775322,543.0,0.01086,5.451611097859794
credit,943.0,1091.0,0.46361848574237957,0.5363815142576205,2034.0,0.04068,4.094026842622334
creep,106.0,114.0,0.4818181818181818,0.5181818181818182,220.0,0.0044,6.294345345078502
creepi,446.0,430.0,0.5091324200913242,0.4908675799086758,876.0,0.01752,4.8834555483762365
crew,438.0,480.0,0.477124183006536,0.522875816993464,918.0,0.01836,4.808584296859919
cri,360.0,293.0,0.5513016845329249,0.44869831546707506,653.0,0.01306,5.264441392399621
crime,619.0,463.0,0.5720887245841035,0.42791127541589646,1082.0,0.02164,4.605293870059143
crimin,373.0,273.0,0.5773993808049536,0.42260061919504643,646.0,0.01292,5.168226410620559
cring,81.0,220.0,0.2691029900332226,0.7308970099667774,301.0,0.00602,6.089698501236711
critic,895.0,618.0,0.5915399867812293,0.4084600132187707,1513.0,0.03026,4.343892314842888
cross,454.0,424.0,0.5170842824601367,0.4829157175398633,878.0,0.01756,4.957040371158884
crowd,308.0,226.0,0.5767790262172284,0.42322097378277157,534.0,0.01068,5.444773464382189
crude,138.0,162.0,0.46,0.54,300.0,0.006,6.02070562974976
cruel,161.0,168.0,0.48936170212765956,0.5106382978723405,329.0,0.00658,5.942062502430646
crush,149.0,144.0,0.5085324232081911,0.49146757679180886,293.0,0.00586,6.083225986731094
cult,334.0,334.0,0.5,0.5,668.0,0.01336,5.149031963364411
cultur,573.0,347.0,0.6228260869565218,0.37717391304347825,920.0,0.0184,4.77315100636153
cur,147.0,188.0,0.4388059701492537,0.5611940298507463,335.0,0.0067,5.7867120624114845
cure,80.0,130.0,0.38095238095238093,0.6190476190476191,210.0,0.0042,6.247644252032521
curio,112.0,156.0,0.417910447761194,0.582089552238806,268.0,0.00536,6.1957807780229475
curiou,210.0,212.0,0.4976303317535545,0.5023696682464456,422.0,0.00844,5.719479332190222
current,406.0,299.0,0.5758865248226951,0.4241134751773049,705.0,0.0141,5.209102239492527
cut,867.0,1263.0,0.4070422535211268,0.5929577464788732,2130.0,0.0426,3.996552593524763
cute,500.0,442.0,0.5307855626326964,0.4692144373673036,942.0,0.01884,4.865159419329299
cynic,253.0,124.0,0.6710875331564987,0.3289124668435013,377.0,0.00754,5.8109850987676905
dad,310.0,259.0,0.5448154657293497,0.4551845342706503,569.0,0.01138,5.2559427576781586
daili,189.0,100.0,0.6539792387543253,0.3460207612456747,289.0,0.00578,6.0767950964008035
damag,150.0,171.0,0.4672897196261682,0.5327102803738317,321.0,0.00642,5.964726362007859
damn,297.0,418.0,0.4153846153846154,0.5846153846153845,715.0,0.0143,5.157943543664975
dan,142.0,122.0,0.5378787878787878,0.46212121212121215,264.0,0.00528,5.98498754714768
danc,616.0,539.0,0.5333333333333333,0.4666666666666667,1155.0,0.0231,4.42899976247461
dancer,163.0,95.0,0.6317829457364341,0.3682170542635659,258.0,0.00516,6.035973101880548
danger,498.0,426.0,0.538961038961039,0.461038961038961,924.0,0.01848,4.881513800193326
daniel,203.0,121.0,0.6265432098765432,0.3734567901234568,324.0,0.00648,5.789113023949023
danni,182.0,117.0,0.6086956521739131,0.3913043478260869,299.0,0.00598,5.825836856903717
dare,328.0,231.0,0.5867620751341681,0.4132379248658319,559.0,0.01118,5.429557617144936
dark,1169.0,891.0,0.5674757281553398,0.43252427184466025,2060.0,0.0412,3.9897702016764462
date,750.0,520.0,0.5905511811023622,0.40944881889763785,1270.0,0.0254,4.555768141310756
daughter,771.0,690.0,0.5277207392197125,0.4722792607802875,1461.0,0.02922,4.279707964064961
davi,225.0,117.0,0.6578947368421053,0.3421052631578947,342.0,0.00684,5.635649393272803
david,757.0,518.0,0.5937254901960785,0.40627450980392155,1275.0,0.0255,4.473143121033747
dawn,120.0,113.0,0.5150214592274678,0.4849785407725322,233.0,0.00466,6.2288113036994295
dead,1027.0,1353.0,0.43151260504201683,0.5684873949579832,2380.0,0.0476,3.845953908265599
deadli,139.0,174.0,0.4440894568690096,0.5559105431309904,313.0,0.00626,5.9675958044358115
deal,1222.0,821.0,0.5981399902104748,0.4018600097895252,2043.0,0.04086,4.074795480694446
dealt,156.0,88.0,0.639344262295082,0.360655737704918,244.0,0.00488,6.270722199315066
dean,132.0,111.0,0.5432098765432098,0.45679012345679015,243.0,0.00486,6.116015809554085
dear,107.0,161.0,0.39925373134328357,0.6007462686567164,268.0,0.00536,6.153371596097854
death,1295.0,1343.0,0.4909021986353298,0.5090978013646702,2638.0,0.05276,3.720851535266946
debut,332.0,157.0,0.6789366053169734,0.3210633946830266,489.0,0.00978,5.564048242456919
decad,443.0,316.0,0.5836627140974967,0.4163372859025033,759.0,0.01518,5.104414897875605
decent,513.0,1261.0,0.2891770011273957,0.7108229988726043,1774.0,0.03548,4.218395949626553
decid,1199.0,1489.0,0.4460565476190476,0.5539434523809523,2688.0,0.05376,3.7962458918059383
decis,319.0,253.0,0.5576923076923077,0.4423076923076923,572.0,0.01144,5.366173285317594
dedic,182.0,115.0,0.6127946127946128,0.3872053872053872,297.0,0.00594,6.067225645384653
deep,713.0,464.0,0.6057774001699235,0.39422259983007646,1177.0,0.02354,4.661284286880965
deeper,203.0,86.0,0.7024221453287197,0.2975778546712803,289.0,0.00578,6.0452467386658775
deepli,370.0,159.0,0.6994328922495274,0.3005671077504726,529.0,0.01058,5.490077378687589
defeat,167.0,135.0,0.5529801324503312,0.4470198675496688,302.0,0.00604,6.032900902843578
defend,136.0,141.0,0.49097472924187724,0.5090252707581228,277.0,0.00554,6.067225645384653
defin,263.0,150.0,0.6368038740920097,0.36319612590799033,413.0,0.00826,5.73075340876344
definit,1899.0,1061.0,0.6415540540540541,0.3584459459459459,2960.0,0.0592,3.7238947512491842
definit worth,251.0,39.0,0.8655172413793103,0.1344827586206897,290.0,0.0058,6.143044481942004
degre,202.0,225.0,0.47306791569086654,0.5269320843091334,427.0,0.00854,5.708330944707607
deliber,166.0,116.0,0.5886524822695035,0.4113475177304965,282.0,0.00564,6.119354710819599
delight,686.0,175.0,0.7967479674796748,0.2032520325203252,861.0,0.01722,4.962284221664896
deliv,864.0,787.0,0.5233192004845548,0.4766807995154452,1651.0,0.03302,4.306634738976211
deliveri,155.0,148.0,0.5115511551155115,0.4884488448844885,303.0,0.00606,6.04835716108027
demand,314.0,242.0,0.564748201438849,0.43525179856115104,556.0,0.01112,5.443071336311659
demon,205.0,247.0,0.45353982300884954,0.5464601769911505,452.0,0.00904,5.399803356063143
demonstr,244.0,169.0,0.5907990314769975,0.4092009685230025,413.0,0.00826,5.719479332190222
deni,192.0,121.0,0.6134185303514377,0.3865814696485623,313.0,0.00626,5.970473504263427
denni,175.0,113.0,0.6076388888888888,0.39236111111111116,288.0,0.00576,5.956167108612188
depart,248.0,230.0,0.5188284518828452,0.4811715481171548,478.0,0.00956,5.57563138354655
depend,272.0,190.0,0.5887445887445888,0.4112554112554112,462.0,0.00924,5.64809768679937
depict,637.0,385.0,0.6232876712328768,0.37671232876712324,1022.0,0.02044,4.761900346798429
depress,361.0,321.0,0.5293255131964809,0.4706744868035191,682.0,0.01364,5.165645764027067
depth,522.0,453.0,0.5353846153846153,0.46461538461538465,975.0,0.0195,4.863252841058717
deriv,105.0,156.0,0.40229885057471265,0.5977011494252873,261.0,0.00522,6.203027186543714
describ,397.0,350.0,0.5314591700133868,0.46854082998661317,747.0,0.01494,5.147765338749219
descript,180.0,199.0,0.47493403693931396,0.525065963060686,379.0,0.00758,5.838384072955805
desert,229.0,271.0,0.458,0.542,500.0,0.01,5.39169301152569
deserv,1128.0,936.0,0.5465116279069767,0.4534883720930233,2064.0,0.04128,4.1055671393612005
design,493.0,528.0,0.4828599412340842,0.5171400587659158,1021.0,0.02042,4.7567501208221135
desir,438.0,290.0,0.6016483516483516,0.3983516483516484,728.0,0.01456,5.138943605420071
desper,442.0,505.0,0.46673706441393875,0.5332629355860612,947.0,0.01894,4.903083263856677
despit,1132.0,1000.0,0.5309568480300187,0.46904315196998125,2132.0,0.04264,4.039495196301912
destroy,351.0,549.0,0.39,0.61,900.0,0.018,4.901103065189814
destruct,202.0,139.0,0.592375366568915,0.407624633431085,341.0,0.00682,5.903596221602851
detail,561.0,373.0,0.6006423982869379,0.3993576017130621,934.0,0.01868,4.895185888161725
detect,359.0,266.0,0.5744,0.4256,625.0,0.0125,5.164357933842639
determin,328.0,188.0,0.6356589147286822,0.3643410852713178,516.0,0.01032,5.545036262968347
develop,1129.0,1149.0,0.49561018437225635,0.5043898156277437,2278.0,0.04556,3.9654170735579206
devic,169.0,222.0,0.4322250639386189,0.5677749360613811,391.0,0.00782,5.742156040861252
devil,180.0,203.0,0.4699738903394256,0.5300261096605744,383.0,0.00766,5.667065589506182
devot,187.0,110.0,0.6296296296296297,0.37037037037037035,297.0,0.00594,6.051477288416514
dialog,512.0,927.0,0.3558026407227241,0.6441973592772758,1439.0,0.02878,4.4070342667837235
dialogu,897.0,1531.0,0.3694398682042834,0.6305601317957166,2428.0,0.04856,3.8899518544677822
dick,146.0,125.0,0.5387453874538746,0.46125461254612543,271.0,0.00542,5.9908526666000785
die,1281.0,1386.0,0.48031496062992124,0.5196850393700787,2667.0,0.05334,3.732465357736934
die hard,88.0,191.0,0.3154121863799283,0.6845878136200717,279.0,0.00558,6.129438829886225
differ,2312.0,1560.0,0.5971074380165289,0.4028925619834711,3872.0,0.07744,3.3632047149229782
difficult,665.0,518.0,0.5621301775147929,0.4378698224852071,1183.0,0.02366,4.673026104757649
difficulti,162.0,81.0,0.6666666666666666,0.33333333333333337,243.0,0.00486,6.278534739051859
dig,173.0,159.0,0.5210843373493976,0.47891566265060237,332.0,0.00664,5.930920325877405
digit,133.0,107.0,0.5541666666666667,0.4458333333333333,240.0,0.0048,6.210326489025326
dimension,138.0,330.0,0.2948717948717949,0.7051282051282051,468.0,0.00936,5.617262767022363
dinner,151.0,125.0,0.5471014492753623,0.4528985507246377,276.0,0.00552,6.073595093670132
directli,174.0,185.0,0.48467966573816157,0.5153203342618384,359.0,0.00718,5.903596221602851
dirti,241.0,220.0,0.5227765726681128,0.47722342733188716,461.0,0.00922,5.535664123139484
disagre,207.0,126.0,0.6216216216216216,0.3783783783783784,333.0,0.00666,5.999715353857924
disappear,277.0,307.0,0.4743150684931507,0.5256849315068493,584.0,0.01168,5.372492421669072
disappoint,1003.0,1890.0,0.3466989284479779,0.6533010715520221,2893.0,0.05786,3.749204744260768
disast,149.0,392.0,0.2754158964879852,0.7245841035120149,541.0,0.01082,5.409623402244119
disbelief,98.0,202.0,0.32666666666666666,0.6733333333333333,300.0,0.006,6.070405298302032
discov,812.0,558.0,0.5927007299270073,0.4072992700729927,1370.0,0.0274,4.482861370502668
discoveri,157.0,100.0,0.6108949416342413,0.3891050583657587,257.0,0.00514,6.203027186543714
discus,352.0,252.0,0.5827814569536424,0.41721854304635764,604.0,0.01208,5.31551011067364
disguis,124.0,147.0,0.4575645756457565,0.5424354243542435,271.0,0.00542,6.15683780407434
disgust,181.0,394.0,0.31478260869565217,0.6852173913043478,575.0,0.0115,5.348998780427684
dislik,193.0,245.0,0.4406392694063927,0.5593607305936072,438.0,0.00876,5.656483480175645
disney,259.0,228.0,0.5318275154004107,0.46817248459958927,487.0,0.00974,5.214500363262084
display,442.0,347.0,0.5602027883396705,0.4397972116603295,789.0,0.01578,5.076917648418383
distanc,124.0,125.0,0.4979919678714859,0.5020080321285141,249.0,0.00498,6.262970222510748
distinct,200.0,134.0,0.5988023952095808,0.4011976047904192,334.0,0.00668,5.956167108612188
distract,226.0,282.0,0.4448818897637795,0.5551181102362205,508.0,0.01016,5.545036262968347
distribut,129.0,132.0,0.4942528735632184,0.5057471264367817,261.0,0.00522,6.1957807780229475
disturb,491.0,387.0,0.5592255125284739,0.44077448747152614,878.0,0.01756,4.895185888161725
diver,150.0,94.0,0.6147540983606558,0.38524590163934425,244.0,0.00488,6.1993974184931355
divorc,143.0,97.0,0.5958333333333333,0.4041666666666667,240.0,0.0048,6.192177170519649
do,282.0,516.0,0.3533834586466165,0.6466165413533835,798.0,0.01596,5.100785129825026
doctor,392.0,423.0,0.48098159509202454,0.5190184049079755,815.0,0.0163,4.8212886419596845
documentari,586.0,349.0,0.6267379679144385,0.3732620320855615,935.0,0.0187,4.615648992174346
dog,460.0,568.0,0.4474708171206226,0.5525291828793775,1028.0,0.02056,4.625361433109951
doll,101.0,145.0,0.4105691056910569,0.589430894308943,246.0,0.00492,6.092950536623088
dollar,227.0,405.0,0.35917721518987344,0.6408227848101266,632.0,0.01264,5.261600481398017
domin,280.0,146.0,0.6572769953051644,0.34272300469483563,426.0,0.00852,5.688571794727145
don,135.0,119.0,0.531496062992126,0.46850393700787396,254.0,0.00508,6.2066701778222155
donald,200.0,106.0,0.6535947712418301,0.3464052287581699,306.0,0.00612,5.987915806926769
doom,171.0,164.0,0.5104477611940299,0.4895522388059701,335.0,0.0067,5.914436436155715
door,374.0,455.0,0.451145958986731,0.548854041013269,829.0,0.01658,4.954950506239426
doubl,274.0,270.0,0.5036764705882353,0.4963235294117647,544.0,0.01088,5.429557617144936
doubt,751.0,783.0,0.4895697522816167,0.5104302477183833,1534.0,0.03068,4.41491070859416
dougla,202.0,70.0,0.7426470588235294,0.25735294117647056,272.0,0.00544,5.95901206074442
down,295.0,270.0,0.5221238938053098,0.47787610619469023,565.0,0.0113,5.448186436978429
downright,119.0,211.0,0.3606060606060606,0.6393939393939394,330.0,0.0066,5.987915806926769
dozen,223.0,283.0,0.4407114624505929,0.5592885375494071,506.0,0.01012,5.526379005363804
dr,362.0,356.0,0.5041782729805014,0.49582172701949856,718.0,0.01436,4.90904749624835
drag,323.0,585.0,0.355726872246696,0.644273127753304,908.0,0.01816,4.932245712545669
dragon,93.0,104.0,0.4720812182741117,0.5279187817258884,197.0,0.00394,6.213996217914288
drama,1353.0,828.0,0.6203576341127923,0.3796423658872077,2181.0,0.04362,3.9630914911144455
dramat,642.0,541.0,0.5426880811496196,0.45731191885038036,1183.0,0.02366,4.6344112686298695
draw,447.0,335.0,0.571611253196931,0.42838874680306904,782.0,0.01564,5.093564881851539
drawn,391.0,299.0,0.5666666666666667,0.43333333333333335,690.0,0.0138,5.232248269385489
dread,165.0,478.0,0.25660964230171074,0.7433903576982892,643.0,0.01286,5.287463991987936
dream,797.0,505.0,0.6121351766513057,0.3878648233486943,1302.0,0.02604,4.437673918472774
dress,427.0,528.0,0.44712041884816756,0.5528795811518324,955.0,0.0191,4.839722343648523
drew,127.0,69.0,0.6479591836734694,0.3520408163265306,196.0,0.00392,6.286408795482766
dri,151.0,259.0,0.36829268292682926,0.6317073170731707,410.0,0.0082,5.749060556207796
drink,284.0,352.0,0.44654088050314467,0.5534591194968553,636.0,0.01272,5.2559427576781586
drive,584.0,670.0,0.46570972886762363,0.5342902711323764,1254.0,0.02508,4.540479448795665
driven,273.0,151.0,0.6438679245283019,0.3561320754716981,424.0,0.00848,5.7105507014459205
driver,183.0,164.0,0.5273775216138329,0.4726224783861671,347.0,0.00694,5.791519763979587
drop,395.0,495.0,0.4438202247191011,0.5561797752808989,890.0,0.0178,4.954950506239426
drug,442.0,520.0,0.4594594594594595,0.5405405405405406,962.0,0.01924,4.68570456301742
drunk,172.0,287.0,0.3747276688453159,0.6252723311546842,459.0,0.00918,5.589316836631804
dub,231.0,325.0,0.4154676258992806,0.5845323741007193,556.0,0.01112,5.314014224082057
dude,107.0,246.0,0.3031161473087819,0.6968838526912181,353.0,0.00706,5.853651545086594
dull,247.0,1020.0,0.19494869771112866,0.8050513022888713,1267.0,0.02534,4.5599786738471
dumb,220.0,718.0,0.2345415778251599,0.7654584221748401,938.0,0.01876,4.815824147487605
dump,95.0,159.0,0.37401574803149606,0.6259842519685039,254.0,0.00508,6.1993974184931355
duti,171.0,123.0,0.5816326530612245,0.41836734693877553,294.0,0.00588,6.067225645384653
dvd,1906.0,1328.0,0.5893630179344465,0.41063698206555355,3234.0,0.06468,3.5262487691499405
dynam,187.0,84.0,0.6900369003690037,0.30996309963099633,271.0,0.00542,6.174351386567048
ear,155.0,199.0,0.4378531073446328,0.5621468926553672,354.0,0.00708,5.884904088590698
earli,1317.0,1057.0,0.554759898904802,0.44524010109519796,2374.0,0.04748,3.921387191398687
earlier,577.0,507.0,0.5322878228782287,0.46771217712177127,1084.0,0.02168,4.762761302512394
earn,218.0,221.0,0.49658314350797267,0.5034168564920274,439.0,0.00878,5.6973054746958995
earth,487.0,600.0,0.44802207911683534,0.5519779208831647,1087.0,0.02174,4.625361433109951
easi,845.0,494.0,0.6310679611650486,0.3689320388349514,1339.0,0.02678,4.552272856382114
easili,768.0,643.0,0.5442948263642806,0.4557051736357194,1411.0,0.02822,4.495308304861753
east,166.0,120.0,0.5804195804195804,0.4195804195804196,286.0,0.00572,6.017679908833223
eat,381.0,498.0,0.4334470989761092,0.5665529010238908,879.0,0.01758,4.872822292074868
ed,153.0,294.0,0.3422818791946309,0.6577181208053691,447.0,0.00894,5.470659292830488
eddi,154.0,127.0,0.5480427046263345,0.45195729537366547,281.0,0.00562,5.833346278925848
edg,545.0,259.0,0.677860696517413,0.322139303482587,804.0,0.01608,5.052455158944894
edit,720.0,1082.0,0.3995560488346282,0.6004439511653719,1802.0,0.03604,4.184011422814701
editor,102.0,154.0,0.3984375,0.6015625,256.0,0.00512,6.188586502388921
educ,272.0,197.0,0.579957356076759,0.420042643923241,469.0,0.00938,5.573691518728723
edward,224.0,147.0,0.6037735849056604,0.39622641509433965,371.0,0.00742,5.770064828978328
eeri,191.0,65.0,0.74609375,0.25390625,256.0,0.00512,6.232549625810036
effort,665.0,1037.0,0.390716803760282,0.609283196239718,1702.0,0.03404,4.281835624442078
elabor,125.0,132.0,0.48638132295719844,0.5136186770428015,257.0,0.00514,6.236301975428587
electr,109.0,137.0,0.44308943089430897,0.556910569105691,246.0,0.00492,6.221376325211911
element,909.0,741.0,0.5509090909090909,0.4490909090909091,1650.0,0.033,4.277054738841736
elev,141.0,118.0,0.5444015444015444,0.4555984555984556,259.0,0.00518,6.174351386567048
elizabeth,129.0,103.0,0.5560344827586207,0.44396551724137934,232.0,0.00464,6.167309103941635
em,125.0,115.0,0.5208333333333334,0.47916666666666663,240.0,0.0048,6.192177170519649
embarrass,148.0,699.0,0.17473435655253838,0.8252656434474617,847.0,0.01694,5.010758978167306
emerg,241.0,157.0,0.6055276381909548,0.3944723618090452,398.0,0.00796,5.767709115285869
emot,1449.0,829.0,0.6360842844600527,0.3639157155399473,2278.0,0.04556,3.890671796903486
employ,184.0,182.0,0.5027322404371585,0.4972677595628415,366.0,0.00732,5.858792944587012
encount,353.0,283.0,0.5550314465408805,0.44496855345911945,636.0,0.01272,5.271579181447914
encourag,197.0,130.0,0.6024464831804281,0.39755351681957185,327.0,0.00654,5.976253867178926
end film,348.0,339.0,0.5065502183406113,0.4934497816593887,687.0,0.01374,5.24611811724964
end movi,300.0,460.0,0.39473684210526316,0.6052631578947368,760.0,0.0152,5.146500316442632
endear,193.0,93.0,0.6748251748251748,0.3251748251748252,286.0,0.00572,6.146475017038793
endless,115.0,306.0,0.27315914489311166,0.7268408551068883,421.0,0.00842,5.723973721778061
endur,167.0,208.0,0.44533333333333336,0.5546666666666666,375.0,0.0075,5.848536444419823
enemi,274.0,208.0,0.5684647302904564,0.4315352697095436,482.0,0.00964,5.493648811055187
energi,265.0,261.0,0.5038022813688213,0.4961977186311787,526.0,0.01052,5.47416192338169
engag,573.0,373.0,0.6057082452431289,0.39429175475687106,946.0,0.01892,4.886375258479571
engin,130.0,118.0,0.5241935483870968,0.47580645161290325,248.0,0.00496,6.177891213272172
england,294.0,141.0,0.6758620689655173,0.32413793103448274,435.0,0.0087,5.6294828783571385
english,736.0,568.0,0.5644171779141104,0.4355828220858896,1304.0,0.02608,4.447680255872498
enhanc,203.0,102.0,0.6655737704918033,0.33442622950819667,305.0,0.0061,6.064056070623374
enjoy film,412.0,167.0,0.7115716753022453,0.2884283246977547,579.0,0.01158,5.426207530259654
enjoy movi,417.0,209.0,0.6661341853035144,0.3338658146964856,626.0,0.01252,5.352099558105932
enjoy watch,226.0,122.0,0.6494252873563219,0.3505747126436781,348.0,0.00696,5.939265297809586
enorm,157.0,103.0,0.6038461538461538,0.3961538461538462,260.0,0.0052,6.2066701778222155
ensembl,192.0,51.0,0.7901234567901234,0.2098765432098766,243.0,0.00486,6.278534739051859
ensu,166.0,112.0,0.5971223021582733,0.40287769784172667,278.0,0.00556,6.18144361487654
enter,412.0,337.0,0.5500667556742324,0.44993324432576765,749.0,0.01498,5.110493943951987
entertain,2219.0,1698.0,0.5665049782997191,0.43349502170028087,3917.0,0.07834,3.389907421196845
enthusiast,129.0,117.0,0.524390243902439,0.47560975609756095,246.0,0.00492,6.290369196698863
entir,1302.0,1697.0,0.4341447149049683,0.5658552850950317,2999.0,0.05998,3.687679511254479
entir film,136.0,242.0,0.35978835978835977,0.6402116402116402,378.0,0.00756,5.853651545086594
entir movi,120.0,309.0,0.27972027972027974,0.7202797202797202,429.0,0.00858,5.717239689596717
entri,183.0,160.0,0.5335276967930029,0.46647230320699706,343.0,0.00686,5.879627031489854
environ,228.0,116.0,0.6627906976744186,0.33720930232558144,344.0,0.00688,5.909001640169759
epic,323.0,218.0,0.5970425138632163,0.4029574861367837,541.0,0.01082,5.370908890063428
episod,800.0,760.0,0.5128205128205128,0.4871794871794872,1560.0,0.0312,3.956147018761634
equal,608.0,465.0,0.5666356011183598,0.43336439888164024,1073.0,0.02146,4.785410354294783
era,664.0,386.0,0.6323809523809524,0.3676190476190476,1050.0,0.021,4.755039256418484
eric,167.0,128.0,0.5661016949152542,0.4338983050847458,295.0,0.0059,5.9226444165735455
erot,135.0,145.0,0.48214285714285715,0.5178571428571428,280.0,0.0056,6.026784675826142
error,101.0,167.0,0.376865671641791,0.6231343283582089,268.0,0.00536,6.122704797704881
escap,723.0,619.0,0.5387481371087929,0.4612518628912071,1342.0,0.02684,4.47961144889017
especi,2462.0,1577.0,0.6095568209952958,0.39044317900470416,4039.0,0.08078,3.4108586782343027
essenc,164.0,92.0,0.640625,0.359375,256.0,0.00512,6.240068458224063
essenti,407.0,317.0,0.5621546961325967,0.4378453038674033,724.0,0.01448,5.1851649263486
establish,316.0,253.0,0.5553602811950791,0.4446397188049209,569.0,0.01138,5.386858191471107
etc,192.0,224.0,0.46153846153846156,0.5384615384615384,416.0,0.00832,5.708330944707607
etern,128.0,130.0,0.49612403100775193,0.5038759689922481,258.0,0.00516,6.210326489025326
europ,223.0,129.0,0.6335227272727273,0.3664772727272727,352.0,0.00704,5.825836856903717
european,281.0,199.0,0.5854166666666667,0.4145833333333333,480.0,0.0096,5.539402445250091
even,391.0,355.0,0.5241286863270778,0.47587131367292224,746.0,0.01492,5.156665588219482
event,947.0,707.0,0.5725513905683193,0.4274486094316807,1654.0,0.03308,4.233501977057566
eventu,703.0,544.0,0.5637530072173216,0.4362469927826784,1247.0,0.02494,4.5892351308009935
ever,145.0,139.0,0.5105633802816901,0.4894366197183099,284.0,0.00568,6.149917361229766
everybodi,390.0,343.0,0.5320600272851296,0.4679399727148704,733.0,0.01466,5.14271482296315
everyday,219.0,88.0,0.7133550488599348,0.28664495114006516,307.0,0.00614,6.0452467386658775
evid,322.0,367.0,0.46734397677793904,0.532656023222061,689.0,0.01378,5.178616114469694
evil,751.0,896.0,0.4559805707346691,0.5440194292653309,1647.0,0.03294,4.178233842949314
ex,357.0,374.0,0.4883720930232558,0.5116279069767442,731.0,0.01462,5.1129359476075384
exact,166.0,188.0,0.4689265536723164,0.5310734463276836,354.0,0.00708,5.887553096762275
exactli,779.0,890.0,0.46674655482324745,0.5332534451767525,1669.0,0.03338,4.31926879881499
exagger,153.0,200.0,0.43342776203966005,0.56657223796034,353.0,0.00706,5.9199009306277945
examin,183.0,112.0,0.6203389830508474,0.37966101694915255,295.0,0.0059,6.035973101880548
exampl,1055.0,1294.0,0.449127288207748,0.5508727117922521,2349.0,0.04698,3.941264088069924
excel,2558.0,670.0,0.7924411400247832,0.20755885997521684,3228.0,0.06456,3.589487485075265
except,641.0,606.0,0.5140336808340016,0.4859663191659984,1247.0,0.02494,4.638206339598421
excess,149.0,179.0,0.45426829268292684,0.5457317073170731,328.0,0.00656,5.961865129726826
exchang,141.0,124.0,0.5320754716981132,0.4679245283018868,265.0,0.0053,6.1957807780229475
excit,792.0,747.0,0.5146198830409356,0.48538011695906436,1539.0,0.03078,4.395036522387077
excus,170.0,660.0,0.20481927710843373,0.7951807228915663,830.0,0.0166,5.030826541218116
execut,443.0,588.0,0.4296799224054316,0.5703200775945684,1031.0,0.02062,4.7898253725039
exercis,113.0,182.0,0.38305084745762713,0.6169491525423729,295.0,0.0059,6.08645700731254
exist,697.0,882.0,0.441418619379354,0.558581380620646,1579.0,0.03158,4.355288449573758
expect,1940.0,2168.0,0.47224926971762415,0.5277507302823758,4108.0,0.08216,3.3195478135243603
expens,182.0,188.0,0.4918918918918919,0.508108108108108,370.0,0.0074,5.8717632950296395
experi,1309.0,982.0,0.571366215626364,0.428633784373636,2291.0,0.04582,3.9515440186896735
experienc,282.0,204.0,0.5802469135802469,0.41975308641975306,486.0,0.00972,5.5912872806191025
expert,170.0,165.0,0.5074626865671642,0.4925373134328358,335.0,0.0067,5.93369425276013
explain,633.0,940.0,0.4024157660521297,0.5975842339478703,1573.0,0.03146,4.337116456055634
explan,174.0,377.0,0.3157894736842105,0.6842105263157895,551.0,0.01102,5.419540838901464
explod,119.0,170.0,0.4117647058823529,0.5882352941176471,289.0,0.00578,6.0452467386658775
exploit,284.0,372.0,0.4329268292682927,0.5670731707317074,656.0,0.01312,5.1851649263486
explor,476.0,257.0,0.6493860845839018,0.3506139154160982,733.0,0.01466,5.115383929246179
explos,247.0,233.0,0.5145833333333333,0.4854166666666667,480.0,0.0096,5.539402445250091
expo,199.0,184.0,0.5195822454308094,0.48041775456919056,383.0,0.00766,5.798774934860759
express,643.0,471.0,0.5771992818671454,0.4228007181328546,1114.0,0.02228,4.689699774084708
extend,165.0,140.0,0.5409836065573771,0.4590163934426229,305.0,0.0061,6.051477288416514
extent,145.0,154.0,0.48494983277591974,0.5150501672240803,299.0,0.00598,6.070405298302032
extra,485.0,447.0,0.5203862660944206,0.4796137339055794,932.0,0.01864,4.900114434362875
extraordinari,280.0,55.0,0.835820895522388,0.16417910447761197,335.0,0.0067,5.930920325877405
extrem,1130.0,1135.0,0.4988962472406181,0.5011037527593819,2265.0,0.0453,3.9790918324608864
ey,115.0,153.0,0.4291044776119403,0.5708955223880596,268.0,0.00536,6.1993974184931355
eye,1614.0,1327.0,0.5487929275756546,0.45120707242434543,2941.0,0.05882,3.698912263117447
fabul,230.0,70.0,0.7666666666666667,0.23333333333333328,300.0,0.006,6.057746901430109
fac,110.0,130.0,0.4583333333333333,0.5416666666666667,240.0,0.0048,6.286408795482766
